id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
319;133;342;220;30.1226;5.64799;1;490;490;0.075;0.4;75.3065
320;134;130;380;4.9997;0.439367;1;1700;1700;0.029;0.33;15.1506
321;117;135;380;10.8155;0.950452;1;1700;1700;0.029;0.33;32.7742
322;135;347;220;7.73472;1.45026;1;490;490;0.075;0.4;19.3368
323;136;135;220;8.77868;1.646;1;490;490;0.075;0.4;21.9467
324;118;348;220;10.4638;1.96196;1;490;490;0.075;0.4;26.1594
325;137;349;380;14.7995;1.30056;1;1700;1700;0.029;0.33;44.847
326;36;137;380;4.6461;0.408294;2;1700;3400;0.0145;0.165;14.0791
327;35;138;380;6.00527;0.527736;1;1700;1700;0.029;0.33;18.1978
328;138;167;380;1.0954;0.096262;1;1700;1700;0.029;0.33;3.31938
329;35;167;380;5.91324;0.519648;1;1700;1700;0.029;0.33;17.9189
330;132;139;220;25.0212;4.69148;2;490;980;0.0375;0.2;62.5532
331;139;130;380;20.5596;1.80676;1;1700;1700;0.029;0.33;62.3019
332;140;341;380;1.715;0.150712;1;1700;1700;0.029;0.33;5.19697
333;92;341;380;2.76846;0.243289;1;1700;1700;0.029;0.33;8.38928
334;114;350;380;0.235698;0.0207128;1;1700;1700;0.029;0.33;0.714236
335;114;351;220;0.229518;0.0430346;1;490;490;0.075;0.4;0.573795
336;114;352;220;0.221409;0.0415142;1;490;490;0.075;0.4;0.553522
337;114;353;220;0.198488;0.0372165;1;490;490;0.075;0.4;0.49622
338;62;272;380;0.458291;0.040274;1;1700;1700;0.029;0.33;1.38876
339;119;209;220;25.1706;7.37421;1;245;245;0.15;0.512;49.1614
340;120;354;220;24.4206;4.57885;1;490;490;0.075;0.4;61.0514
341;141;136;220;22.4268;6.57036;1;245;245;0.15;0.512;43.8024
342;119;355;380;2.7694;0.243372;2;1700;3400;0.0145;0.165;8.39214
343;119;127;220;21.0158;3.94048;2;490;980;0.0375;0.2;52.5397
344;142;274;220;6.00656;1.12623;1;490;490;0.075;0.4;15.0164
345;143;241;220;12.44116;2.33272;2;490;850;0.0375;0.2;31.1029
346;143;199;220;16.1106;3.02074;2;490;850;0.0375;0.2;40.2765
347;53;156;220;6.59688;1.236914;2;490;980;0.0375;0.2;16.4922
348;10;356;220;16.6296;3.11804;2;490;980;0.0375;0.2;41.574
349;145;357;220;1.286088;0.241142;2;490;980;0.0375;0.2;3.21522
350;146;145;220;3.05277;0.572395;1;490;490;0.075;0.4;7.63193
351;147;312;380;13.1872;1.15887;1;1700;1700;0.029;0.33;39.9611
352;41;147;380;8.98418;0.78952;2;1700;3400;0.0145;0.165;27.2248
353;148;313;220;4.73488;0.88779;1;490;490;0.075;0.4;11.8372
